stock weight,bond weight,real estate weight,Sharpe All,Sharpe 0,Sharpe 1,Sharpe 2,Sharpe,std Sharpe
0.0,0.0,1.0,1.911,1.4780000000000002,0.903,1.874,1.42,0.4
0.0,0.01,0.99,1.892,1.473,0.909,1.88,1.42,0.4
0.0,0.02,0.98,1.865,1.4669999999999999,0.907,1.881,1.42,0.4
0.0,0.03,0.97,1.831,1.459,0.9009999999999999,1.8769999999999998,1.41,0.4
0.0,0.04,0.96,1.7930000000000001,1.449,0.895,1.869,1.4,0.4
0.0,0.05,0.95,1.7519999999999998,1.4369999999999998,0.8909999999999999,1.858,1.4,0.4
0.0,0.06,0.94,1.709,1.4240000000000002,0.887,1.8430000000000002,1.38,0.39
0.0,0.07,0.93,1.6669999999999998,1.41,0.885,1.825,1.37,0.38
0.0,0.08,0.92,1.624,1.3940000000000001,0.883,1.804,1.36,0.38
0.0,0.09,0.91,1.5819999999999999,1.376,0.8809999999999999,1.781,1.35,0.37
0.0,0.1,0.9,1.54,1.358,0.88,1.757,1.33,0.36
0.0,0.11,0.89,1.499,1.339,0.879,1.7309999999999999,1.32,0.35
0.0,0.12,0.88,1.459,1.318,0.878,1.704,1.3,0.34
0.0,0.13,0.87,1.42,1.297,0.877,1.676,1.28,0.33
0.0,0.14,0.86,1.382,1.275,0.875,1.6480000000000001,1.27,0.32
0.0,0.15,0.85,1.345,1.252,0.8740000000000001,1.619,1.25,0.3
0.0,0.16,0.84,1.308,1.229,0.872,1.591,1.23,0.29
0.0,0.17,0.83,1.273,1.205,0.87,1.5619999999999998,1.21,0.28
0.0,0.18,0.82,1.238,1.182,0.868,1.534,1.19,0.27
0.0,0.19,0.81,1.203,1.157,0.866,1.505,1.18,0.26
0.0,0.2,0.8,1.17,1.133,0.863,1.4769999999999999,1.16,0.25
0.0,0.21,0.79,1.137,1.1079999999999999,0.86,1.449,1.14,0.24
0.0,0.22,0.78,1.105,1.084,0.858,1.422,1.12,0.23
0.0,0.23,0.77,1.074,1.0590000000000002,0.855,1.395,1.1,0.22
0.0,0.24,0.76,1.043,1.034,0.851,1.369,1.08,0.21
0.0,0.25,0.75,1.013,1.0090000000000001,0.848,1.3430000000000002,1.07,0.21
0.0,0.26,0.74,0.983,0.985,0.845,1.317,1.05,0.2
0.0,0.27,0.73,0.9540000000000001,0.96,0.8420000000000001,1.2919999999999998,1.03,0.19
0.0,0.28,0.72,0.9259999999999999,0.9359999999999999,0.838,1.268,1.01,0.18
0.0,0.29,0.71,0.898,0.9109999999999999,0.835,1.244,1.0,0.18
0.0,0.3,0.7,0.871,0.887,0.8320000000000001,1.22,0.98,0.17
0.0,0.31,0.69,0.845,0.863,0.828,1.197,0.96,0.17
0.0,0.32,0.68,0.8190000000000001,0.8390000000000001,0.825,1.1740000000000002,0.95,0.16
0.0,0.33,0.67,0.7929999999999999,0.816,0.821,1.1520000000000001,0.93,0.16
0.0,0.34,0.66,0.768,0.7929999999999999,0.818,1.131,0.91,0.15
0.0,0.35,0.65,0.7440000000000001,0.769,0.8140000000000001,1.11,0.9,0.15
0.0,0.36,0.64,0.72,0.747,0.8109999999999999,1.089,0.88,0.15
0.0,0.37,0.63,0.6970000000000001,0.7240000000000001,0.8079999999999999,1.069,0.87,0.15
0.0,0.38,0.62,0.674,0.7020000000000001,0.804,1.0490000000000002,0.85,0.15
0.0,0.39,0.61,0.6509999999999999,0.679,0.8009999999999999,1.0290000000000001,0.84,0.15
0.0,0.4,0.6,0.629,0.657,0.7979999999999999,1.01,0.82,0.15
0.0,0.41,0.59,0.608,0.636,0.795,0.992,0.81,0.15
0.0,0.42,0.58,0.5870000000000001,0.614,0.7909999999999999,0.9740000000000001,0.79,0.15
0.0,0.43,0.57,0.5660000000000001,0.593,0.7879999999999999,0.956,0.78,0.15
0.0,0.44,0.56,0.546,0.5720000000000001,0.785,0.938,0.76,0.15
0.0,0.45,0.55,0.526,0.551,0.782,0.9209999999999999,0.75,0.15
0.0,0.46,0.54,0.506,0.531,0.779,0.904,0.74,0.16
0.0,0.47,0.53,0.48700000000000004,0.511,0.7759999999999999,0.888,0.72,0.16
0.0,0.48,0.52,0.46799999999999997,0.491,0.773,0.871,0.71,0.16
0.0,0.49,0.51,0.45,0.47100000000000003,0.7709999999999999,0.856,0.7,0.17
0.0,0.51,0.49,0.414,0.43200000000000005,0.765,0.825,0.67,0.17
0.0,0.52,0.48,0.397,0.41200000000000003,0.762,0.81,0.66,0.18
0.0,0.53,0.47,0.38,0.39299999999999996,0.76,0.795,0.65,0.18
0.0,0.54,0.46,0.363,0.374,0.757,0.78,0.64,0.19
0.0,0.55,0.45,0.34700000000000003,0.35600000000000004,0.755,0.7659999999999999,0.63,0.19
0.0,0.56,0.44,0.331,0.337,0.752,0.752,0.61,0.2
0.0,0.57,0.43,0.315,0.319,0.75,0.738,0.6,0.2
0.0,0.58,0.42,0.299,0.301,0.747,0.7240000000000001,0.59,0.21
0.0,0.59,0.41,0.284,0.28300000000000003,0.745,0.711,0.58,0.21
0.0,0.6,0.4,0.26899999999999996,0.265,0.743,0.698,0.57,0.22
0.0,0.61,0.39,0.254,0.247,0.74,0.685,0.56,0.22
0.0,0.62,0.38,0.24,0.23,0.738,0.672,0.55,0.23
0.0,0.63,0.37,0.226,0.212,0.736,0.66,0.54,0.23
0.0,0.64,0.36,0.212,0.195,0.7340000000000001,0.647,0.53,0.24
0.0,0.65,0.35,0.198,0.17800000000000002,0.732,0.635,0.52,0.24
0.0,0.66,0.34,0.185,0.161,0.73,0.623,0.5,0.25
0.0,0.67,0.33,0.172,0.145,0.728,0.611,0.49,0.25
0.0,0.68,0.32,0.159,0.128,0.726,0.599,0.48,0.26
0.0,0.69,0.31,0.146,0.11199999999999999,0.7240000000000001,0.588,0.47,0.26
0.0,0.7,0.3,0.134,0.095,0.722,0.5770000000000001,0.46,0.27
0.0,0.71,0.29,0.122,0.079,0.72,0.565,0.45,0.27
0.0,0.72,0.28,0.11,0.063,0.718,0.5539999999999999,0.44,0.28
0.0,0.73,0.27,0.099,0.048,0.716,0.5429999999999999,0.44,0.28
0.0,0.74,0.26,0.087,0.032,0.7140000000000001,0.5329999999999999,0.43,0.29
0.0,0.75,0.25,0.076,0.017,0.7120000000000001,0.522,0.42,0.29
0.0,0.76,0.24,0.065,0.002,0.71,0.512,0.41,0.3
0.0,0.77,0.23,0.055,-0.013999999999999999,0.7090000000000001,0.501,0.4,0.3
0.0,0.78,0.22,0.044000000000000004,-0.027999999999999997,0.7070000000000001,0.491,0.39,0.31
0.0,0.79,0.21,0.034,-0.043,0.705,0.48100000000000004,0.38,0.31
0.0,0.8,0.2,0.024,-0.057,0.703,0.47100000000000003,0.37,0.32
0.0,0.81,0.19,0.015,-0.07200000000000001,0.701,0.461,0.36,0.32
0.0,0.82,0.18,0.005,-0.086,0.6990000000000001,0.452,0.36,0.33
0.0,0.83,0.17,-0.004,-0.1,0.6970000000000001,0.442,0.35,0.33
0.0,0.84,0.16,-0.013000000000000001,-0.113,0.695,0.433,0.34,0.34
0.0,0.85,0.15,-0.022000000000000002,-0.126,0.693,0.424,0.33,0.34
0.0,0.86,0.14,-0.03,-0.139,0.691,0.415,0.32,0.35
0.0,0.87,0.13,-0.038,-0.152,0.6890000000000001,0.406,0.31,0.35
0.0,0.88,0.12,-0.047,-0.165,0.687,0.397,0.31,0.35
0.0,0.89,0.11,-0.055,-0.177,0.684,0.38799999999999996,0.3,0.36
0.0,0.9,0.1,-0.063,-0.18899999999999997,0.682,0.38,0.29,0.36
0.0,0.91,0.09,-0.07,-0.2,0.679,0.371,0.28,0.36
0.0,0.92,0.08,-0.078,-0.212,0.677,0.363,0.28,0.37
0.0,0.93,0.07,-0.086,-0.223,0.674,0.355,0.27,0.37
0.0,0.94,0.06,-0.09300000000000001,-0.233,0.672,0.34700000000000003,0.26,0.37
0.0,0.95,0.05,-0.10099999999999999,-0.244,0.669,0.33899999999999997,0.25,0.38
0.0,0.96,0.04,-0.109,-0.253,0.6659999999999999,0.331,0.25,0.38
0.0,0.97,0.03,-0.11699999999999999,-0.263,0.6629999999999999,0.324,0.24,0.38
0.0,0.98,0.02,-0.125,-0.272,0.66,0.316,0.23,0.38
0.0,0.99,0.01,-0.133,-0.282,0.657,0.309,0.23,0.39
0.0,1.0,0.0,-0.141,-0.29,0.654,0.302,0.22,0.39
0.01,0.0,0.99,1.886,1.476,0.858,1.953,1.43,0.45
0.01,0.01,0.98,1.87,1.4709999999999999,0.865,1.96,1.43,0.45
0.01,0.02,0.97,1.847,1.464,0.866,1.9609999999999999,1.43,0.45
0.01,0.03,0.96,1.817,1.456,0.863,1.9569999999999999,1.43,0.45
0.01,0.04,0.95,1.7830000000000001,1.446,0.8590000000000001,1.949,1.42,0.45
0.01,0.05,0.94,1.745,1.4340000000000002,0.856,1.9380000000000002,1.41,0.44
0.01,0.06,0.93,1.706,1.421,0.852,1.922,1.4,0.44
0.01,0.07,0.92,1.665,1.406,0.85,1.903,1.39,0.43
0.01,0.08,0.91,1.624,1.39,0.848,1.882,1.37,0.42
0.01,0.09,0.9,1.5830000000000002,1.3719999999999999,0.846,1.858,1.36,0.41
0.01,0.1,0.89,1.5430000000000001,1.354,0.845,1.8330000000000002,1.34,0.4
0.01,0.11,0.88,1.5030000000000001,1.334,0.843,1.806,1.33,0.39
0.01,0.12,0.87,1.464,1.3130000000000002,0.8420000000000001,1.778,1.31,0.38
0.01,0.13,0.86,1.426,1.2919999999999998,0.84,1.749,1.29,0.37
0.01,0.14,0.85,1.3880000000000001,1.2690000000000001,0.838,1.72,1.28,0.36
0.01,0.15,0.84,1.351,1.246,0.836,1.69,1.26,0.35
0.01,0.16,0.83,1.315,1.2229999999999999,0.8340000000000001,1.66,1.24,0.34
0.01,0.17,0.82,1.28,1.199,0.8320000000000001,1.631,1.22,0.33
0.01,0.18,0.81,1.245,1.175,0.83,1.601,1.2,0.32
0.01,0.19,0.8,1.2109999999999999,1.15,0.8270000000000001,1.571,1.18,0.3
0.01,0.2,0.79,1.178,1.126,0.825,1.5419999999999998,1.16,0.29
0.01,0.21,0.78,1.145,1.101,0.8220000000000001,1.5130000000000001,1.15,0.28
0.01,0.22,0.77,1.113,1.0759999999999998,0.8190000000000001,1.485,1.13,0.27
0.01,0.23,0.76,1.082,1.051,0.816,1.4569999999999999,1.11,0.26
0.01,0.24,0.75,1.051,1.026,0.813,1.43,1.09,0.26
0.01,0.25,0.74,1.021,1.001,0.809,1.403,1.07,0.25
0.01,0.26,0.73,0.991,0.976,0.8059999999999999,1.376,1.05,0.24
0.01,0.27,0.72,0.963,0.951,0.8029999999999999,1.351,1.03,0.23
0.01,0.28,0.71,0.934,0.927,0.8,1.325,1.02,0.22
0.01,0.29,0.7,0.907,0.902,0.7959999999999999,1.3,1.0,0.22
0.01,0.3,0.69,0.879,0.878,0.7929999999999999,1.276,0.98,0.21
0.01,0.31,0.68,0.853,0.8540000000000001,0.789,1.252,0.97,0.2
0.01,0.32,0.67,0.8270000000000001,0.83,0.7859999999999999,1.229,0.95,0.2
0.01,0.33,0.66,0.8009999999999999,0.8059999999999999,0.7829999999999999,1.206,0.93,0.19
0.01,0.34,0.65,0.7759999999999999,0.7829999999999999,0.779,1.1840000000000002,0.92,0.19
0.01,0.35,0.64,0.752,0.759,0.7759999999999999,1.162,0.9,0.19
0.01,0.36,0.63,0.728,0.736,0.772,1.141,0.88,0.18
0.01,0.37,0.62,0.7040000000000001,0.7140000000000001,0.769,1.12,0.87,0.18
0.01,0.38,0.61,0.6809999999999999,0.691,0.7659999999999999,1.099,0.85,0.18
0.01,0.39,0.6,0.659,0.669,0.763,1.079,0.84,0.18
0.01,0.4,0.59,0.637,0.647,0.76,1.06,0.82,0.17
0.01,0.41,0.58,0.615,0.625,0.7559999999999999,1.041,0.81,0.17
0.01,0.42,0.57,0.594,0.604,0.753,1.022,0.79,0.17
0.01,0.43,0.56,0.573,0.5820000000000001,0.75,1.003,0.78,0.17
0.01,0.44,0.55,0.5529999999999999,0.561,0.747,0.985,0.76,0.17
0.01,0.45,0.54,0.5329999999999999,0.541,0.7440000000000001,0.9670000000000001,0.75,0.17
0.01,0.46,0.53,0.513,0.52,0.742,0.95,0.74,0.18
0.01,0.47,0.52,0.494,0.5,0.7390000000000001,0.9329999999999999,0.72,0.18
0.01,0.48,0.51,0.475,0.479,0.736,0.9159999999999999,0.71,0.18
0.01,0.51,0.48,0.42100000000000004,0.42,0.728,0.868,0.67,0.19
0.01,0.52,0.47,0.40299999999999997,0.401,0.726,0.852,0.66,0.19
0.01,0.53,0.46,0.386,0.382,0.723,0.8370000000000001,0.65,0.19
0.01,0.54,0.45,0.37,0.363,0.721,0.8220000000000001,0.64,0.2
0.01,0.55,0.44,0.353,0.344,0.718,0.807,0.62,0.2
0.01,0.56,0.43,0.337,0.326,0.716,0.792,0.61,0.2
0.01,0.57,0.42,0.321,0.307,0.7140000000000001,0.778,0.6,0.21
0.01,0.58,0.41,0.305,0.289,0.711,0.764,0.59,0.21
0.01,0.59,0.4,0.29,0.271,0.7090000000000001,0.75,0.58,0.22
0.01,0.6,0.39,0.275,0.253,0.7070000000000001,0.736,0.57,0.22
0.01,0.61,0.38,0.26,0.235,0.705,0.723,0.55,0.23
0.01,0.62,0.37,0.24600000000000002,0.218,0.703,0.71,0.54,0.23
0.01,0.63,0.36,0.23199999999999998,0.2,0.701,0.6970000000000001,0.53,0.24
0.01,0.64,0.35,0.218,0.183,0.6990000000000001,0.684,0.52,0.24
0.01,0.65,0.34,0.204,0.166,0.6970000000000001,0.6709999999999999,0.51,0.24
0.01,0.66,0.33,0.191,0.149,0.695,0.659,0.5,0.25
0.01,0.67,0.32,0.17800000000000002,0.132,0.693,0.6459999999999999,0.49,0.25
0.01,0.68,0.31,0.165,0.11599999999999999,0.6920000000000001,0.634,0.48,0.26
0.01,0.69,0.3,0.152,0.099,0.69,0.622,0.47,0.26
0.01,0.7,0.29,0.14,0.083,0.688,0.61,0.46,0.27
0.01,0.71,0.28,0.128,0.067,0.6859999999999999,0.599,0.45,0.27
