Quarter,Equities,Risk Free,Bonds,Real Estate,SC label
1978Q1,-4.93,1.58,0.59,3.336949156070512,1
1978Q2,8.5,1.63,0.01,2.8593982642023805,2
1978Q3,8.66,1.73,2.2,2.95087221284375,2
1978Q4,-4.93,2.03,-0.98,4.901428696458334,0
1979Q1,7.08,2.32,2.89,3.0610831009537036,2
1979Q2,2.72,2.4,3.81,4.435419788329166,0
1979Q3,7.54,2.35,-0.47,3.8066344565500017,2
1979Q4,0.13,2.66,-0.85,5.587763152225,0
1980Q1,-4.07,3.07,-5.96,5.19146930388889,0
1980Q2,13.41,3.12,15.67,1.9459833298968248,2
1980Q3,11.19,2.14,-4.9,3.7699024960029,2
1980Q4,9.46,2.9,1.69,5.9334504421731875,2
1981Q1,1.32,3.62,1.19,3.545810751552564,0
1981Q2,-2.31,3.53,0.59,5.0606261909103445,0
1981Q3,-10.22,3.78,-1.97,3.2654682947848963,1
1981Q4,7.01,3.53,9.61,5.315821554954545,2
1982Q1,-7.3,2.95,3.33,2.364690920203922,1
1982Q2,-0.55,3.21,2.64,2.122980768893981,0
1982Q3,11.52,2.92,12.13,2.1025266446569453,2
1982Q4,18.26,2.09,7.41,2.442928014260965,2
1983Q1,9.98,2.03,2.24,1.9127334925611117,2
1983Q2,11.02,2.1,1.45,2.5943600667642857,2
1983Q3,-0.17,2.23,1.81,3.0153853899526513,0
1983Q4,0.43,2.25,1.69,4.178029708839556,0
1984Q1,-2.41,2.25,0.59,3.009406506366666,0
1984Q2,-2.6,2.4,-1.17,3.1920573979380955,0
1984Q3,9.66,2.54,7.47,2.883943960643893,2
1984Q4,1.79,2.43,7.17,3.7828958654001563,0
1985Q1,9.2,2.06,2.12,2.2787284593212207,2
1985Q2,7.27,1.91,7.8,2.7612540666433234,2
1985Q3,-4.13,1.78,1.99,2.8107973570557965,1
1985Q4,17.17,1.71,7.27,3.6099466072263975,2
1986Q1,14.06,1.66,8.66,2.1258626696825225,2
1986Q2,5.7,1.58,1.32,2.3941826300471116,2
1986Q3,-6.95,1.43,1.95,1.4926077689580548,1
1986Q4,5.38,1.37,2.74,2.8560702761054717,2
1987Q1,21.31,1.41,1.17,1.8088223011985316,2
1987Q2,5.16,1.41,-1.75,1.5451676177078015,0
1987Q3,6.61,1.53,-2.69,2.010460324841816,2
